participant_ID,task_3,task_2,task_1
134,58462,27880,17000
135,59840,32160,18000
136,63264,32625,19000
137,64856,33665,22000
138,59064,32820,20000
139,62532,29455,16000
140,62538,33950,21000
141,64832,31510,21000
142,65116,31790,22000
143,64000,33500,20000
144,63332,31130,15000
145,65942,32540,21000
146,60790,31640,24000
147,64136,31305,21000
148,66822,32295,19000
149,67894,30550,19000
150,66218,32215,18000
151,61938,31965,20000
152,61152,33815,19000
153,65622,33135,21000
154,64506,31450,22000
155,62658,32230,22000
156,60736,32655,19000
157,63150,27850,18000
158,61554,26880,19000
159,62964,32710,19000
160,61614,33345,17000
161,62290,32855,23000
162,65380,31600,22000
163,62256,32385,20000
164,59828,31725,23000
165,67842,35495,22000
166,54724,31270,17000
167,66738,30725,20000
168,65758,30435,19000
169,65832,28095,20000
170,66984,34135,19000
171,63000,31565,22000
172,61042,31265,21000
173,62656,30405,21000
174,65154,30495,21000
175,65292,31250,22000
176,66810,30940,20000
177,56318,25670,16000
178,59164,31805,22000
179,68314,33255,22000
180,59236,32895,23000
181,67772,35385,22000
182,63232,28265,17000
183,66530,34050,24000
184,65100,35370,18000
185,62000,25450,15000
186,58936,30500,17000
187,61000,29970,22000
188,64682,31820,21000
189,63862,32680,20000
190,56064,27485,18000
191,63006,31450,16000
192,62498,30565,21000
193,62064,31250,20000
194,65054,31500,18000
195,64724,30260,22000
196,67044,32635,21000
197,62878,30035,22000
198,64554,29230,19000
199,66432,31820,25000
200,62816,32250,22000
201,54000,36490,20000
202,67176,28300,20000
203,59712,30270,14000
204,64976,31305,22000
205,67724,33340,21000
206,64832,31700,20000
207,58884,31865,20000
208,62636,31285,20000
209,65524,33105,21000
210,62150,31860,21000
211,67888,32830,23000
212,66584,34065,23000
213,62000,25035,9000
214,63390,33525,20000
215,65600,32045,21000
216,66724,29270,13000
217,61468,31270,22000
218,63284,32295,19000
219,61000,32420,20000
220,60920,29215,22000
221,64042,34615,19000
222,63668,29955,22000
223,66334,31470,16000
224,65522,33650,18000
225,60936,33770,19000
226,59648,33355,16000
227,66740,30740,22000
228,69396,33495,24000
229,64948,32025,23000
230,63624,30000,19000
231,62726,27925,21000
232,66698,32640,20000
233,60360,34945,19000
234,66318,31405,23000
235,61216,32595,18000
236,63844,32565,22000
237,65984,34150,22000
238,65794,30805,17000
239,64256,34500,18000
240,64000,29905,17000
241,66920,32540,20000
242,68180,34980,22000
243,63132,33630,21000
244,67076,31855,23000
245,62814,33805,21000
246,62194,30475,20000
247,58566,31100,18000
248,63472,29480,17000
249,67436,31120,20000
250,60984,30500,19000
251,63274,26795,9000
252,66300,30490,17000
253,58956,31440,22000
254,65688,31955,22000
255,63292,33965,19000
256,62148,33035,23000
257,65758,31070,21000
258,64808,28760,17000
259,65360,28460,23000
260,67636,33175,21000
261,63964,32380,21000
262,38320,21025,21000
263,61000,34500,21000
264,66270,30910,21000
265,63358,29195,23000
266,59344,35455,17000
267,66452,33415,19000
268,66204,32485,20000
269,56156,22625,13000
270,62760,32000,17000
271,62874,35145,20000
272,66688,30095,20000
273,61692,24650,18000
274,62282,32575,18000
275,69586,36275,20000
276,62040,30060,23000
277,65128,33120,21000
278,56734,29515,17000
279,65568,30750,19000
280,64278,32710,20000
281,62852,29960,21000
282,61690,30340,17000
283,61000,32500,12000
284,67550,29220,16000
285,67482,32930,17000
286,62986,35400,14000
287,70078,33120,21000
288,65844,32845,23000
289,66970,31980,21000
290,64752,32255,18000
291,60382,30500,15000
292,63946,30870,17000
293,57712,30765,19000
294,47892,26825,16000
295,63000,31500,17000
296,62520,29305,22000
297,62118,31525,22000
298,61448,31765,19000
299,67000,33500,11000
300,64116,31870,23000
301,63100,29675,23000
302,60118,30335,18000
303,59704,32970,16000
304,65204,32570,20000
305,68104,33755,17000
306,64808,30980,22000
307,60686,29265,18000
308,60000,30500,20000
309,64432,35495,18000
310,66108,29290,19000
311,64610,27125,22000
312,59000,29500,19000
313,61000,29500,19000
314,59824,26265,20000
315,60000,30500,20000
316,46624,26805,18000
317,63290,33375,21000
318,65856,32235,18000
319,65242,28505,20000
320,63890,33135,14000
321,64136,30570,18000
322,63000,30500,21000
323,54652,31305,20000
324,70340,30590,19000
325,62688,31250,20000
326,65334,34415,21000
327,62670,26125,23000
328,51992,20080,14000
329,61362,31770,20000
330,62440,27545,19000
331,64680,31820,21000
332,63990,29560,22000
333,66530,34715,23000
334,65646,32295,23000
335,69264,33295,24000
336,69666,34710,22000
337,58982,28390,20000
338,64342,33310,17000
339,65414,32280,21000
340,61528,31255,8000
341,65474,33985,23000
342,65530,34545,23000
343,66070,30275,23000
344,63954,32285,20000
345,57180,27345,20000
346,62320,32415,21000
347,59960,30490,21000
348,59354,31795,21000
349,61946,30585,16000
350,63912,31795,19000
351,62072,33610,20000
352,65044,32545,22000
353,64118,27925,20000
354,63730,33580,22000
355,64618,31810,23000
356,66014,32265,18000
357,57296,28620,18000
358,63984,32765,16000
359,67576,32360,20000
360,64540,34670,23000
361,50904,22500,19000
362,67342,32265,18000
363,64622,29845,11000
364,64892,29610,21000
365,62304,31685,22000
366,59308,30905,21000
367,64148,33045,22000
368,63714,32470,21000
369,62228,30780,18000
370,65134,29845,24000
371,64496,35155,22000
372,58592,35180,17000
373,64112,31260,23000
374,65306,31180,23000
375,64860,33535,20000
376,64286,27850,22000
377,57918,30830,22000
378,69248,32300,21000
379,62262,32420,19000
380,54450,27725,17000
381,64402,31210,20000
382,59972,34130,19000
383,64640,30485,22000
384,61500,31495,20000
385,61332,29820,23000
386,63220,32575,24000
387,61738,30515,20000
388,60244,29590,20000
389,62714,31970,21000
390,62000,26500,16000
391,72056,32460,21000
392,68092,33810,20000
393,64116,33715,23000
394,64782,32665,21000
395,58014,26825,16000
396,67058,32050,19000
397,66178,31530,21000
398,64196,31505,16000
399,67430,33160,19000
400,63232,34005,21000
401,65768,32320,18000
402,57538,26565,23000
403,63978,33815,19000
404,56286,25095,21000
405,59796,34420,22000
406,64232,32630,21000
407,68490,28385,22000
408,59958,28585,23000
409,66000,29500,19000
410,64038,30840,21000
411,67388,30900,20000
412,63626,28905,17000
413,62246,28820,19000
414,62876,32340,14000
415,64304,32145,25000
416,62038,31410,19000
417,65994,21875,11000
418,59162,30970,17000
419,56000,29480,17000
420,64570,31600,23000
421,67024,32795,22000
422,63548,31125,19000
423,63628,31710,24000
424,61918,31705,17000
425,63684,31460,19000
426,71804,35440,17000
427,66442,32530,21000
428,62122,32870,12000
429,62240,30780,19000
430,67190,34040,20000
431,64948,33380,18000
432,64952,32135,23000
433,61796,31420,20000
434,66302,34470,18000
435,62620,29830,21000
436,58000,31500,19000
437,58236,26210,19000
438,66370,32265,24000
439,64132,32565,22000
440,62778,31665,20000
441,62544,29610,22000
442,66116,31820,20000
443,60000,32420,20000
444,54984,25380,11000
445,63406,31180,20000
446,59952,29105,19000
447,61182,28725,20000
448,68832,30165,20000
449,64206,36525,21000
450,66788,34850,19000
451,64306,29630,18000
452,62548,31865,22000
453,63510,32340,20000
454,64764,34715,18000
455,58014,28475,19000
456,66142,33580,21000
457,60568,33080,21000
458,66188,32995,15000
459,62396,28260,16000
460,65928,34265,22000
461,65072,33790,17000
462,63558,31120,16000
463,62264,32325,22000
464,58682,26810,16000
465,57710,31560,16000
466,60820,30750,17000
467,59540,32370,17000
468,61952,29110,20000
469,66752,30640,22000
470,63702,30055,18000
471,64784,27175,18000
472,67614,31980,22000
473,65674,34595,20000
474,69608,33115,23000
475,65672,31375,19000
476,66962,29385,19000
477,63756,30865,16000
478,63580,30260,21000
479,68424,32705,22000
480,65076,32930,19000
481,60174,34030,19000
482,63698,30770,17000
483,57272,31695,19000
484,67132,34420,19000
485,60712,29710,24000
486,66000,31500,20000
487,68610,30900,22000
488,68170,32930,21000
489,62582,33030,24000
490,63000,29490,23000
491,60354,30555,20000
492,61554,30760,20000
493,68950,33415,20000
494,65264,31850,23000
495,62258,28775,22000
496,58000,31500,17000
497,63720,29780,19000
498,66214,31625,18000
499,58918,32900,20000
500,59960,34095,19000
