,participant_ID,csv,total_bonus_paid_cents,part1_average,part2_average,part3_average
42,43,bayes_3C8QQOM6KSNFKAQTSC7QEUPDF3KILN_A1MWYS9YMR5MGQ_3634BBTX0SGW72DRW39U81FF3LSFI0_results.,500.0,14274.774680000022,5678.317799999892,3255.6415719999377
43,44,bayes_3Y7LTZE0ZW84YQ2X1UND5COMO1UZUY_A3DHYTZ1GPN0T8_3K4J6M3CXIFNFKQOVZNZ9OR8OOVGAT_results.,483.0,21574.81701199997,28813.557242666575,23700.799787333923
44,45,bayes_3VAOOVPI42EHABYZDF436AH5X75LLW_APTVSZECEQRD4_34MAJL3QP897JJYJRJ6ODRG03EZ43Q_results.,375.0,12813.850828000086,5118.241684000044,3328.249295999941
45,46,bayes_3YKP7CX6H516IHNLI8EZ923ZQWPB7Z_A1JED1RJM2C9MS_3SB5N7Y3O7QRE7S63XQ6KIFWQVI0GK_results.,314.0,31167.117384000376,18075.81104799993,13095.238746000301
46,47,bayes_3HFWPF5ALC5NYK30RIX4MA1JOGO3SH_AOOM8772H6308_3I33IC7ZWJOX0QIHWK2A7KX7HDZ2AO_results.,489.0,12982.89320000001,11744.505680000042,9832.452960000084
47,48,bayes_359AP8GAHJ6PSMFRW8AUKM9H8ZF7CS_A2IXU3FG5NNBEX_3DQQ64TANK7QZAMQZN9ELM2SPECWPL_results.,313.0,21146.55196400004,19846.266807999924,12384.871689999802
48,49,bayes_3NCN4N1H2J3VL2F8YFVO5ZPPQA2NBS_A37DKV7XQI7N5J_3Z4AIRP3CAZ27I8EOQUAM9Y1Y7C1XW_results.,473.0,11057.746844000041,10060.088292000148,8751.223258000033
49,50,bayes_35YHTYFL2JPY6O0X583BY6ANQ0TFVT_A3F09QNY4J3LHS_3TE3O85734UPZ74YYVOW2AMHFS52RY_results.,293.0,15134.735544000045,12371.050755999935,13579.792302000009
50,51,bayes_3E22YV8GH4SXPWGIHKDP0JUE71VNP1_A60BJBCD1321O_3IRIK4HM3E69B6YG30A43S483UX6CC_results.,479.0,22596.628645333327,18934.173647999974,15267.18334066651
51,52,bayes_391FPZIE5F8I7523V8H655KHS31UHB_A1FG2G9TZSDN_3018Q3ZVOMCE4AZ2BAHB8S5FPI3ARL_results.,432.0,13389.275696000075,12158.77106399996,11355.535695999937
52,53,bayes_3KQC8JMJHFEY8BPKGOL5IWUHGP5H3D_A2J7VPNDHXVARX_33LK57MYLXRR6X7N2RXFFV1LT4ISZQ_results.,375.0,13339.31599999998,15399.070479999884,9900.94683999989
53,54,bayes_3566S7OX6G555J5TGBLA3QQQ4MG17S_A3V5IIPZ95YVKH_32SCWG5HILQS5V7K85WANS3F5036PU_results.,370.0,20768.76512,10920.78464000005,9664.289240000107
54,55,bayes_37G6BXQPMT7EV24KOYPVA1QFYFEEQC_AD75IYA9OIIQF_3EO896NRA0H2LIFY95ZJ169HE3QTJW_results.,433.0,17013.3427146667,22660.560875999436,11591.600273999857
55,56,bayes_37ZQELHER3KR4TJ5P4LXJF0J28VMN3_A2NKE99I9M8EP3_3Q5C1WP23QNT5ZO4IKBFUQ7H5ZQ15S_results.,369.0,17142.45706400017,7941.54539600052,3201.7287539998983
56,57,bayes_3IVEC1GSMSLYPE6VHKA76GVZVA21J7_A1SGEO4RATPQP4_3Y5140Z9D128YF2LA65ZKVTKCGBIPP_results.,494.0,12192.899963999993,6375.346659999898,10311.456569999822
57,58,bayes_3K1H3NEY8OLIQ7W6P79ZA54SSGKDG3_AIH7C1VQF6HHZ_3QEMNNSB21L2KYIZM6A7TCMMKN37DN_results.,474.0,53129.062540000006,22780.75051200065,18624.404704000142
58,59,bayes_3ZTE0JGGDHEWDS7QDURWV8VCYOUOC4_A2MX58PSSC7HFV_3VP0C6EFSKIMKSA7GP4I6O9KW9W6MQ_results.,361.0,6561.99550400002,4358.321847999994,5093.808621999907
59,60,bayes_3BCRDCM0PGGO7KDA5BM02RMTHD6K6G_A3DK98PFBWG2H0_3U84XHCDIGZ84C5CCQ1XHSLEAIFZ47_results.,482.0,14394.693975999984,10228.40038800025,9406.081845999743
60,61,bayes_391JB9X401UQWNY2SRTHRNJF8DTMK1_A1TL26D4AA1RM4_37Z929RLGDUVKLYOWZ8XT704B0FSTG_results.,500.0,12695.705228000075,4445.675907999899,2965.8084040000485
61,62,bayes_37VUR2VJ7DBBH00P7STLJCI44SPC13_A1PBRKFHSF1OF8_3HL8HNGX49N3W1KOS93HV8GCJOYF9V_results.,367.0,12120.794918667478,7085.748023999946,4569.684782000002
62,63,bayes_335HHSX8DGRWQ3RH9DRHV5GT6I2DHA_A5E2P5F1AXYZ1_33PPO7FECZ1Z9IZV5XE4K1CURFLIDF_results.,438.0,12573.47128400013,10568.16511600005,11541.255866000047
