participant_ID,treatment,part,trial_no,rounds,red_prior_prob,true_guilty_suspect,suspect_accused,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,outcome_1,outcome_2,outcome_3,outcome_4,outcome_5,outcome_6,outcome_7,outcome_8,outcome_9,timing_choice_1,timing_choice_2,timing_choice_3,timing_choice_4,timing_choice_5,timing_choice_6,timing_choice_7,timing_choice_8,timing_choice_9,timing_choice_10,timing_choice_11,correct_suspect_accused,evidence_round
156,1,1,24,5.0,0.1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,1.0,0.0,1.0,0.0,0.0,,,,,1578.2385000000006,2313.8682999999146,2949.2313999999537,3450.8534999998274,3952.31949999976,4453.974299999768,5510.766399999885,,,,,1,1
156,1,1,25,9.0,0.3,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.1046999999677,1728.753599999892,2347.394599999825,2982.788399999916,3651.582099999897,4303.645099999721,4972.466299999922,5624.551799999839,6243.125299999846,7563.9705999999915,8787.867300000358,0,0
157,1,1,1,5.0,0.5,1,0,0.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,5090.170600000062,6410.339599999969,7646.953600000055,9050.927300000158,11189.935300000225,15334.263300000342,18392.580900000343,,,,,0,0
157,1,1,2,3.0,0.1,1,1,0.0,0.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,2149.0346000000013,3536.0475999999,4421.730600000002,9618.851599999965,14101.000300000158,,,,,,,1,0
157,1,1,3,9.0,0.5,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630.9935999999082,3034.7176000000045,4204.487599999924,5357.546600000005,6026.198900000001,6627.794900000046,7830.9869000000135,8933.91289999998,10020.127900000138,11841.626900000105,15803.973000000376,1,0
157,1,1,4,5.0,0.1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,944.1883000000098,1662.761299999963,2164.0912999999327,2665.421299999968,3166.7513000000567,6609.217300000022,10437.87680000004,,,,,1,0
157,1,1,5,5.0,0.7,0,0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,,,,,1062.819600000076,1948.5026000000214,4438.441600000037,4939.771600000002,5441.101599999967,6644.293600000012,9286.302699999971,,,,,1,2
157,1,1,6,9.0,0.1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.6575000000253,1646.2535000000337,2147.583500000003,2648.913499999968,3150.2434999999323,3653.2445999999013,4639.193600000017,5173.945600000005,5725.408599999964,6794.9125999998905,9670.875700000106,0,0
157,1,1,7,3.0,0.5,1,1,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,2891.2119999999964,3425.963999999964,4144.537000000015,5247.463000000038,9744.393100000014,,,,,,,1,0
157,1,1,8,1.0,0.5,1,0,0.0,,,,,,,,,0.0,,,,,,,,,1512.552300000151,3334.051300000107,5777.199500000083,,,,,,,,,0,0
157,1,1,9,7.0,0.3,1,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1296.7735999999236,1881.658599999888,2382.98859999986,4789.372599999882,5942.6152999997985,6544.211299999875,7179.229299999925,8867.040299999839,13145.05630000023,,,1,0
157,1,1,10,7.0,0.1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,1044.437499999943,1545.7674999999135,2047.2034999998841,2548.544099999846,3049.874099999811,3968.979099999877,4487.0200999998415,5372.703099999777,7277.757099999813,,,1,4
157,1,1,11,3.0,0.9,0,0,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,,,,,,,1029.397600000033,1530.7276000000033,2032.0575999999744,3051.4286000000734,4289.713700000016,,,,,,,1,3
157,1,1,12,9.0,0.3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1046.3099000000059,1547.6398999999767,2048.9698999999473,2550.299899999912,3051.629899999894,3552.95990000003,4054.2899,4555.619899999966,5792.233899999894,6560.939900000029,8133.444999999931,1,8
157,1,1,13,1.0,0.9,0,0,0.0,,,,,,,,,0.0,,,,,,,,,949.1847999999477,2670.6135999998387,4161.234799999798,,,,,,,,,1,0
157,1,1,14,7.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,1747.9706000000965,2249.3006000000646,3402.3596000000675,3920.400600000137,4555.4186000000955,5056.748600000063,5558.078600000027,6360.206600000066,7498.225700000032,,,1,1
157,1,1,15,9.0,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1295.2938999999267,1796.6238999999487,2297.953900000055,2866.1279000000127,3367.4578999999776,3868.787899999942,4453.6728999998995,5356.066899999979,5890.818899999941,7428.230899999866,8684.898100000042,1,2
157,1,1,16,1.0,0.3,1,1,1.0,,,,,,,,,0.0,,,,,,,,,1029.397600000068,3319.054299999921,5743.8204000000205,,,,,,,,,1,0
157,1,1,17,3.0,0.7,0,0,0.0,0.0,0.0,,,,,,,0.0,1.0,0.0,,,,,,,1011.0154999999864,1562.4785000001013,2431.450500000043,3150.0234999999934,4202.816499999906,,,,,,,1,2
157,1,1,18,1.0,0.1,1,1,1.0,,,,,,,,,1.0,,,,,,,,,718.5730000000741,2189.3895999999913,3278.946799999988,,,,,,,,,1,1
157,1,1,19,5.0,0.3,1,1,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,1395.3684999999145,2063.8084999999633,2565.1385000000337,3935.44049999994,4436.7704999999,10671.844800000115,11976.97390000008,,,,,1,0
157,1,1,20,5.0,0.9,0,0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0,0.0,,,,,1261.6805000000807,1779.7215000000895,2799.092500000015,3300.422499999979,4286.371500000107,5740.228500000007,6978.706099999924,,,,,1,2
157,1,1,21,9.0,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1129.6635999999367,1948.502599999888,2449.832599999853,2951.162599999942,3886.978599999942,4438.441599999909,4939.771599999868,5441.101599999834,5942.431599999951,6477.18359999997,7715.468699999888,1,4
157,1,1,22,7.0,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1029.3975999999454,1530.7275999999447,2032.0576000000754,2533.582300000039,3034.912300000109,4137.838300000118,4672.59030000008,5307.608300000033,6729.714400000287,,,1,1
157,1,1,23,1.0,0.7,0,0,0.0,,,,,,,,,0.0,,,,,,,,,810.4834999999562,2030.3864999998968,3285.382600000123,,,,,,,,,1,0
157,1,1,24,7.0,0.7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1012.6865999999408,1781.3925999999014,2650.539499999836,3151.8694999998065,3870.442499999751,4371.772499999715,4873.102499999807,5875.762499999821,7262.77549999971,,,1,0
157,1,1,25,3.0,0.3,1,1,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,1612.6115000001005,2113.9415000000768,2615.2715000000353,3634.642500000098,4806.083600000082,,,,,,,1,0
158,1,1,1,5.0,0.9,0,0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,1.0,1.0,0.0,,,,,8558.071699999859,16452.032000000105,19083.32870000026,24094.896800000166,26961.144100000278,66481.55269999978,75151.74940000019,,,,,1,3
158,1,1,2,7.0,0.3,0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,17085.671699999675,19013.1006999997,20856.56209999945,22465.499699999546,24091.40819999946,25867.85219999955,28298.242699999384,34013.44109999948,42477.65429999983,,,0,4
158,1,1,3,5.0,0.5,0,1,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,8943.505600000213,10787.138300000264,12379.368100000158,13871.122100000313,15563.74680000009,18279.005700000318,22491.35650000021,,,,,0,0
158,1,1,4,5.0,0.3,1,1,0.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,4062.41799999997,5453.6593999997585,6409.072599999709,10582.446200000053,12325.467699999968,16532.371500000027,23640.1353,,,,,1,0
158,1,1,5,9.0,0.7,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5246.224700000346,7190.402400000206,8749.041000000207,10240.573700000105,11447.466099999954,12620.645600000136,13676.47930000019,14866.618599999994,17799.512100000054,19106.76789999999,25094.98479999994,1,1
158,1,1,6,3.0,0.5,1,1,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,4920.719999999915,5758.8119999997925,6445.989599999925,7853.7959000000565,10790.105999999865,,,,,,,1,0
158,1,1,7,1.0,0.7,1,1,0.0,,,,,,,,,0.0,,,,,,,,,5574.689699999582,6731.058899999529,8730.660999999589,,,,,,,,,1,0
158,1,1,8,3.0,0.3,1,1,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,3939.2269999998994,4810.854499999875,5682.381299999986,6419.782399999829,8251.808299999875,,,,,,,1,0
158,1,1,9,9.0,0.3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3945.1743000000392,4766.361200000058,5671.390700000171,6442.306200000116,7397.74150000029,8319.658800000136,9241.465500000182,10096.235600000147,10934.358200000102,11638.230699999936,14593.391599999468,1,0
