participant_ID,treatment,part,trial_no,rounds,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,posterior,true_guilty_suspect,suspect_accused,time
1.0,1.0,1.0,21.0,3.0,0.3,3,0,0.0,2,0,0,-1.0,0.19424460431654675,0.0,0.0,2683.3372000001377
1.0,1.0,1.0,21.0,3.0,0.3,4,1,0.0,3,0,0,-1.0,0.15311909262759923,0.0,0.0,3834.970099999931
1.0,1.0,1.0,22.0,3.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,1500.0415000000035
1.0,1.0,1.0,22.0,3.0,0.1,2,0,0.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,2666.802499999944
1.0,1.0,1.0,22.0,3.0,0.1,3,0,0.0,1,1,0,-1.0,0.09999999999999999,1.0,1.0,3200.1204999999372
1.0,1.0,1.0,22.0,3.0,0.1,4,1,1.0,2,1,0,-1.0,0.07692307692307693,1.0,1.0,3983.355499999713
1.0,1.0,1.0,23.0,7.0,0.5,1,0,1.0,0,0,0,-1.0,0.5,1.0,1.0,916.630899999896
1.0,1.0,1.0,23.0,7.0,0.5,2,0,0.0,0,1,0,-1.0,0.5714285714285714,1.0,1.0,2156.6505999998885
1.0,1.0,1.0,23.0,7.0,0.5,3,0,1.0,1,1,0,-1.0,0.49999999999999994,1.0,1.0,2768.348399999773
1.0,1.0,1.0,23.0,7.0,0.5,4,0,0.0,1,2,0,-1.0,0.5714285714285714,1.0,1.0,3318.367599999578
1.0,1.0,1.0,23.0,7.0,0.5,5,0,1.0,2,2,0,-1.0,0.49999999999999994,1.0,1.0,3885.0700999996166
1.0,1.0,1.0,23.0,7.0,0.5,6,0,0.0,2,3,1,1.0,1.0,1.0,1.0,4485.030099999626
1.0,1.0,1.0,23.0,7.0,0.5,7,0,1.0,3,3,1,1.0,1.0,1.0,1.0,5018.332299999625
1.0,1.0,1.0,23.0,7.0,0.5,8,1,1.0,3,4,1,1.0,1.0,1.0,1.0,5884.9819999996935
1.0,1.0,1.0,24.0,7.0,0.9,1,0,0.0,0,0,0,-1.0,0.9,0.0,0.0,2233.380400000081
1.0,1.0,1.0,24.0,7.0,0.9,2,0,0.0,1,0,0,-1.0,0.8709677419354839,0.0,0.0,2816.679900000234
1.0,1.0,1.0,24.0,7.0,0.9,3,0,0.0,2,0,0,-1.0,0.8350515463917526,0.0,0.0,3433.3589000002144
1.0,1.0,1.0,24.0,7.0,0.9,4,0,0.0,3,0,0,-1.0,0.7915309446254072,0.0,0.0,4033.346100000188
1.0,1.0,1.0,24.0,7.0,0.9,5,0,0.0,4,0,0,-1.0,0.7401015228426396,0.0,0.0,4616.7011000001785
1.0,1.0,1.0,24.0,7.0,0.9,6,0,0.0,5,0,0,-1.0,0.6810962317035192,0.0,0.0,5283.3591000002225
1.0,1.0,1.0,24.0,7.0,0.9,7,0,0.0,6,0,0,-1.0,0.6156516843389321,0.0,0.0,5933.3236000002735
1.0,1.0,1.0,24.0,7.0,0.9,8,1,0.0,7,0,0,-1.0,0.545734327778856,0.0,0.0,6533.3390000003965
1.0,1.0,1.0,25.0,7.0,0.1,1,0,0.0,0,0,0,-1.0,0.1,1.0,1.0,1566.673700000137
1.0,1.0,1.0,25.0,7.0,0.1,2,0,0.0,1,0,0,-1.0,0.07692307692307693,1.0,1.0,2366.607300000127
1.0,1.0,1.0,25.0,7.0,0.1,3,0,0.0,2,0,0,-1.0,0.058823529411764705,1.0,1.0,2999.933800000139
1.0,1.0,1.0,25.0,7.0,0.1,4,0,0.0,3,0,0,-1.0,0.04477611940298507,1.0,1.0,3616.6046000001593
