participant_ID,treatment,part,trial_no,rounds,red_prior_prob,true_guilty_suspect,suspect_accused,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,outcome_1,outcome_2,outcome_3,outcome_4,outcome_5,outcome_6,outcome_7,outcome_8,outcome_9,timing_choice_1,timing_choice_2,timing_choice_3,timing_choice_4,timing_choice_5,timing_choice_6,timing_choice_7,timing_choice_8,timing_choice_9,timing_choice_10,timing_choice_11,correct_suspect_accused,evidence_round
26,0,1,2,1.0,0.7,0,0,0.0,,,,,,,,,0.0,,,,,,,,,2881.3100000000913,4556.9525999998905,6354.652899999825,,,,,,,,,1,0
26,0,1,3,3.0,0.9,0,0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,2796.042500000085,4078.660600000036,4588.70530000003,7623.8795000000855,9386.443900000097,,,,,,,1,0
26,0,1,4,7.0,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4590.32570000007,5147.195000000114,5675.65300000004,6204.051500000098,6739.118600000024,7347.825400000127,7856.1857000001855,11382.98729999994,12817.806699999854,,,1,0
26,0,1,5,9.0,0.5,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2941.5178000001115,9530.349700000146,11322.976400000018,11856.420700000072,12450.080100000025,13863.14719999997,14383.212699999962,14985.230999999876,15652.463299999858,20816.37839999973,22289.643099999765,0,0
26,0,1,6,1.0,0.1,1,1,1.0,,,,,,,,,0.0,,,,,,,,,2033.483700000157,3921.4395999999733,6991.695299999978,,,,,,,,,1,0
26,0,1,7,9.0,0.1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2409.738500000118,6436.5566999998755,6968.322199999867,7495.090599999822,8030.216499999774,8595.444899999691,9123.881499999705,9635.557999999715,10219.197399999737,12923.267799999732,14284.471899999651,1,0
26,0,1,8,5.0,0.1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,1847.8675999998584,2352.897699999949,3003.4118999999955,3528.4952000000408,4130.518000000076,6105.470200000113,7302.828500000308,,,,,1,0
26,0,1,9,7.0,0.3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2327.8244000000645,3018.499400000054,3669.006600000129,4321.176200000141,4822.861800000073,5376.379800000044,6001.787900000102,8705.795600000012,10145.601300000035,,,1,0
26,0,1,10,3.0,0.1,1,1,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,2214.1114999999054,2779.328699999977,3304.427300000085,4834.5671999999295,9028.734200000059,,,,,,,1,0
26,0,1,11,9.0,0.3,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1963.2236000000962,2471.554600000078,3279.242200000093,3973.2319000000575,4520.05220000015,5122.071400000164,5724.084500000146,6319.423200000239,6958.17830000026,8108.6750000001575,10041.835800000323,0,3
26,0,1,12,7.0,0.5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4745.879400000033,5334.513500000035,5841.199399999935,6364.6363999999585,6929.866599999973,7662.341299999912,9824.576799999912,11853.031400000144,13978.469000000216,,,0,0
